"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Demo 1","0","Cart","2","0","Remove products from cart","0"
"0","Sauce Demo 1","0","Cart","2","0","Empty cart","0"
"0","Sauce Demo 1","0","Products","1","0","Remove products","0"
"0","Sauce Demo 1","0","Login","3","0","Login with negative credentials","0"
"0","Sauce Demo 1","0","Order Checkout","2","0","End-to-End purchase flow","0"
"0","Sauce Demo 1","0","Cart","2","0","Cart with two products","0"
"0","Sauce Demo 1","0","Products","1","0","Adding products","0"
"0","Sauce Demo 1","0","Login","1","0","Login with positive credentials","0"
