"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1612","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","1011","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","999","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","2824","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","631","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","821","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"","633","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1807","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","2025","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
"","977","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","1573","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1234","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"Проверка логина с позитивными кредами","1122","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","4004","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
