"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1463","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","2331","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1952","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"","1024","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"Проверка логина с позитивными кредами","1133","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","2146","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","824","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1007","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","1050","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"","2286","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1402","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","2346","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","3247","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
"","2333","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-08","passed","2026-06-08","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
