"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2093","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
"","1035","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","2220","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1891","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"","1521","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","748","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","2625","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","3199","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
"","1818","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","2745","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"Проверка логина с позитивными кредами","1051","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1322","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"","2204","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","919","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
