"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1065","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"Проверка логина с позитивными кредами","909","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1306","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","1730","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"","650","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1637","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
"","1849","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","2523","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
"","638","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","949","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","2004","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","3750","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1568","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","1417","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
