"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1429","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","1884","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","2654","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
"","2043","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","1071","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","620","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1692","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","992","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","7714","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
"","649","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","953","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"Проверка логина с позитивными кредами","1382","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","1389","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"","5615","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
